observer;date;weeknr;time;after_sunrise;area;visitordensity;species;size;herb_cover;shrub_cover;tree_cover;temp;wind;rain;FID
CJ;3-20-2009;11;12:24;339;nature;10;Turdus merula;4.46;0.07;0.14;0.20;11;6;0.0;33.7
SS;3-20-2009;11;8:36;111;nature;10;Columba palumbus;8.04;0.09;0.07;0.11;9;6;0.0;29.6
SS;3-19-2009;11;11:47;299;suburb;1000;Columba palumbus;8.04;0.12;0.18;0.20;11;6;0.0;28.3
SS;3-26-2009;12;11:15;283;rural;100;Columba palumbus;8.04;0.21;0.11;0.22;8;4;0.3;26.8
EB;3-20-2009;11;7:45;60;nature;10;Turdus merula;4.46;0.14;0.04;0.10;8;6;0.0;26.0
EB;4-8-2009;14;8:05;62;rural;100;Columba palumbus;8.04;0.06;0.10;0.26;10;2;0.0;25.0
CJ;3-20-2009;11;13:42;417;nature;10;Columba palumbus;8.04;0.11;0.16;0.17;12;6;0.0;24.1
CJ;3-27-2009;12;14:19;469;suburb;1000;Columba palumbus;8.04;0.02;0.21;0.10;9;4;0.3;23.2
CJ;3-26-2009;12;15:41;549;rural;100;Columba palumbus;8.04;0.10;0.29;0.25;8;4;0.3;22.7
SS;4-5-2009;14;9:18;128;nature;10;Turdus merula;4.46;0.24;0.29;0.40;16;5;0.2;22.4
CJ;3-28-2009;13;12:19;352;nature;10;Columba palumbus;8.04;0.06;0.17;0.18;10;4;0.3;22.3
EB;3-20-2009;11;11:54;309;nature;10;Turdus merula;4.46;0.03;0.13;0.10;11;6;0.0;22.1
SS;4-8-2009;14;12:30;327;rural;100;Columba palumbus;8.04;0.13;0.44;0.21;12;2;0.0;21.4
CJ;3-27-2009;12;15:58;568;suburb;1000;Columba palumbus;8.04;0.14;0.05;0.26;9;4;0.3;21.4
EB;4-10-2009;14;11:51;292;nature;10;Turdus merula;4.46;0.25;0.24;0.31;12;2;0.0;21.4
SS;5-13-2009;19;10:09;253;rural;100;Columba palumbus;8.04;0.29;0.33;0.43;29;0;0.0;21.3
SS;3-20-2009;11;7:08;23;nature;10;Columba palumbus;8.04;0.03;0.18;0.14;8;6;0.0;20.7
SS;3-28-2009;13;8:00;93;nature;10;Turdus merula;4.46;0.21;0.14;0.13;6;4;0.3;20.6
CJ;3-26-2009;12;7:58;86;rural;100;Columba palumbus;8.04;0.06;0.17;0.26;6;4;0.3;20.1
CJ;3-27-2009;12;8:32;122;suburb;1000;Columba palumbus;8.04;0.11;0.18;0.26;7;4;0.3;20.1
SS;5-1-2009;17;8:44;147;nature;10;Columba palumbus;8.04;0.18;0.38;0.61;13;0;0.4;20.0
CJ;3-25-2009;12;11:43;309;urban;10000;Columba palumbus;8.04;0.04;0.19;0.29;8;4;0.3;19.9
CJ;4-5-2009;14;9:02;112;nature;10;Turdus philomelos;4.08;0.21;0.20;0.36;15;5;0.2;19.4
CJ;3-26-2009;12;8:09;97;rural;100;Columba palumbus;8.04;0.02;0.23;0.22;6;4;0.3;18.9
SS;3-20-2009;11;16:05;560;nature;10;Turdus merula;4.46;0.09;0.10;0.21;10;6;0.0;18.8
CJ;3-28-2009;13;10:49;262;nature;10;Turdus merula;4.46;0.14;0.28;0.23;8;4;0.3;18.4
CJ;3-18-2009;11;7:28;38;rural;100;Turdus merula;4.46;0.13;0.19;0.12;8;6;0.0;18.3
EB;3-28-2009;13;15:27;540;nature;10;Columba palumbus;8.04;0.14;0.28;0.28;9;4;0.3;18.1
SS;4-3-2009;13;7:33;19;rural;100;Columba palumbus;8.04;0.19;0.24;0.16;14;5;0.2;17.8
SS;3-27-2009;12;10:52;262;suburb;1000;Columba palumbus;8.04;0.03;0.10;0.25;8;4;0.3;17.8
SS;5-10-2009;19;12:55;414;nature;10;Columba palumbus;8.04;0.41;0.29;0.32;25;1;0.0;17.7
CJ;4-8-2009;14;14:17;434;rural;100;Columba palumbus;8.04;0.29;0.37;0.02;13;2;0.0;17.6
SS;3-19-2009;11;8:41;113;suburb;1000;Columba palumbus;8.04;0.06;0.20;0.13;9;6;0.0;17.6
SS;3-19-2009;11;7:36;48;suburb;1000;Columba palumbus;8.04;0.05;0.05;0.17;8;6;0.0;17.2
CJ;3-20-2009;11;7:17;32;nature;10;Pica pica;6.02;0.09;0.08;0.16;8;6;0.0;17.1
SS;3-19-2009;11;16:09;561;suburb;1000;Columba palumbus;8.04;0.10;0.10;0.13;10;6;0.0;16.9
SS;4-3-2009;13;10:37;203;rural;100;Turdus merula;4.46;0.11;0.21;0.37;16;5;0.2;16.8
CJ;4-3-2009;13;13:51;397;rural;100;Columba palumbus;8.04;0.30;0.29;0.27;20;5;0.2;16.6
CJ;3-27-2009;12;16:04;574;suburb;1000;Columba palumbus;8.04;0.13;0.14;0.29;8;4;0.3;16.6
SS;4-7-2009;14;11:50;285;urban;10000;Columba palumbus;8.04;0.31;0.42;0.43;12;2;0.0;16.5
SS;3-25-2009;12;8:01;87;urban;10000;Turdus philomelos;4.08;0.06;0.23;0.18;6;4;0.3;16.3
EB;3-28-2009;13;13:36;429;nature;10;Columba palumbus;8.04;0.15;0.26;0.25;9;4;0.3;16.3
CJ;3-17-2009;11;14:33;461;urban;10000;Pica pica;6.02;0.15;0.07;0.04;11;6;0.0;16.1
SS;3-18-2009;11;11:54;304;rural;100;Columba palumbus;8.04;0.12;0.13;0.15;11;6;0.0;16.1
EB;4-5-2009;14;11:52;282;nature;10;Columba palumbus;8.04;0.14;0.42;0.22;18;5;0.2;16.1
CJ;3-26-2009;12;16:21;589;rural;100;Columba palumbus;8.04;0.20;0.08;0.24;8;4;0.3;15.8
EB;3-28-2009;13;11:02;275;nature;10;Columba palumbus;8.04;0.10;0.16;0.23;8;4;0.3;15.8
SS;3-20-2009;11;11:37;292;nature;10;Turdus merula;4.46;0.21;0.13;0.22;11;6;0.0;15.6
SS;3-28-2009;13;7:13;46;nature;10;Columba palumbus;8.04;0.21;0.07;0.12;6;4;0.3;15.6
SS;3-17-2009;11;8:05;73;urban;10000;Turdus philomelos;4.08;0.09;0.11;0.06;9;6;0.0;15.5
EB;3-27-2009;12;7:32;62;suburb;1000;Turdus philomelos;4.08;0.13;0.31;0.21;6;4;0.3;15.4
